                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97691,                  3.483,                 1.2741,                0.49912,                0.10336,                0.14688,                0.10636,                0.77635,                 2.8363,                0.95113,             0.00029768,             0.00029768,             0.00029768
                      2,                0.91904,                 2.6084,                 1.2301,                 0.3451,                0.46206,                0.20273,                0.13394,                0.96353,                 3.4053,                 1.1306,              0.0005987,              0.0005987,              0.0005987
                      3,                0.90784,                 2.1497,                 1.2367,                0.19562,                0.51556,                0.27491,                0.20224,                 0.8649,                 2.5726,                 1.0637,             0.00089772,             0.00089772,             0.00089772
                      4,                0.89161,                 1.9573,                 1.2141,                0.41829,                0.35656,                0.26241,                0.18945,                 0.9535,                 2.5907,                 1.1135,                 0.0009,                 0.0009,                 0.0009
                      5,                0.83146,                 1.7647,                 1.1775,                0.57656,                0.41656,                0.39191,                 0.2891,                0.88971,                 1.9192,                 1.0586,               0.000897,               0.000897,               0.000897
                      6,                0.83905,                 1.7308,                 1.1786,                0.63791,                0.38425,                0.49171,                0.34827,                0.96295,                 1.6571,                 1.1115,               0.000894,               0.000894,               0.000894
                      7,                0.82279,                 1.5962,                  1.158,                0.62749,                0.47308,                0.53133,                0.40911,                0.82353,                 1.5861,                 1.0395,               0.000891,               0.000891,               0.000891
                      8,                0.80248,                 1.5273,                 1.1508,                0.64812,                0.53127,                0.54911,                0.42432,                0.83416,                 1.6447,                 1.0854,               0.000888,               0.000888,               0.000888
                      9,                0.78578,                  1.455,                 1.1418,                0.66646,                0.51662,                0.57945,                0.46225,                0.76328,                 1.4407,                  1.037,               0.000885,               0.000885,               0.000885
                     10,                0.75961,                 1.3614,                 1.1204,                0.69163,                 0.5601,                0.65019,                0.51624,                0.76212,                 1.2532,                 0.9794,               0.000882,               0.000882,               0.000882
                     11,                0.76153,                 1.3032,                 1.1158,                0.55449,                0.51241,                0.43952,                0.32737,                 0.8813,                 2.0168,                 1.0496,               0.000879,               0.000879,               0.000879
                     12,                0.73945,                 1.3823,                 1.1176,                0.75783,                0.58043,                0.66292,                0.52741,                0.74583,                 1.2244,                0.99603,               0.000876,               0.000876,               0.000876
                     13,                0.72941,                 1.2176,                 1.1167,                 0.7866,                0.52957,                0.66796,                0.55369,                0.68139,                 1.2601,                0.96819,               0.000873,               0.000873,               0.000873
                     14,                0.70642,                 1.2706,                 1.0947,                0.76564,                 0.4768,                0.58223,                0.48215,                0.68579,                 1.6843,                0.97215,                0.00087,                0.00087,                0.00087
                     15,                0.70022,                 1.1809,                 1.0887,                0.77413,                 0.5943,                0.65891,                0.53122,                0.67594,                 1.2988,                0.95205,               0.000867,               0.000867,               0.000867
                     16,                 0.7181,                  1.188,                 1.1074,                 0.6445,                0.59353,                0.64565,                0.50957,                0.76618,                 1.3563,                0.98495,               0.000864,               0.000864,               0.000864
                     17,                0.70968,                 1.1639,                 1.1067,                0.60213,                0.67845,                0.70022,                0.52187,                0.89463,                 1.1706,                 1.0673,               0.000861,               0.000861,               0.000861
                     18,                0.68771,                 1.1625,                 1.0863,                0.76762,                0.62347,                0.75243,                0.61853,                0.65707,                 1.1105,                 0.9527,             0.00085801,             0.00085801,             0.00085801
                     19,                0.70018,                 1.1685,                 1.0975,                0.67624,                0.69815,                0.75111,                0.61012,                0.68177,                 1.0718,                0.96784,             0.00085501,             0.00085501,             0.00085501
                     20,                0.66183,                 1.1009,                  1.074,                0.78369,                0.59056,                0.73045,                0.59851,                0.69717,                 1.0823,                0.96957,             0.00085201,             0.00085201,             0.00085201
                     21,                0.65728,                 1.0531,                 1.0729,                0.66362,                0.66287,                0.66387,                0.53884,                0.74175,                 1.2706,                0.98131,             0.00084901,             0.00084901,             0.00084901
                     22,                0.66097,                 1.0756,                  1.078,                 0.7331,                0.71773,                0.76691,                0.62068,                0.68463,                0.97647,                0.97545,             0.00084601,             0.00084601,             0.00084601
                     23,                0.64961,                 1.0393,                 1.0696,                0.63101,                0.82562,                0.79744,                0.65175,                0.66928,                 1.0091,                0.94845,             0.00084301,             0.00084301,             0.00084301
                     24,                0.68353,                 1.0644,                 1.0796,                 0.7525,                0.66694,                0.79787,                0.64074,                 0.6718,                 1.0322,                0.95107,             0.00084001,             0.00084001,             0.00084001
                     25,                0.64971,                 1.0246,                 1.0669,                0.73178,                0.65573,                0.75556,                0.62899,                 0.6504,                 1.1532,                0.92077,             0.00083701,             0.00083701,             0.00083701
                     26,                0.64062,                 1.0072,                   1.07,                0.66293,                0.68433,                0.72999,                0.59396,                0.64637,                 1.1375,                0.95702,             0.00083401,             0.00083401,             0.00083401
                     27,                0.66791,                0.97585,                 1.0731,                0.75504,                0.68432,                0.78689,                0.63455,                0.66988,                  1.051,                0.95775,             0.00083101,             0.00083101,             0.00083101
                     28,                0.65624,                 0.9727,                 1.0682,                 0.7414,                0.80422,                0.85671,                0.71163,                0.63191,                0.92273,                0.91923,             0.00082801,             0.00082801,             0.00082801
                     29,                0.65066,                0.96624,                 1.0626,                0.79562,                0.77846,                0.81857,                0.68188,                0.62914,                0.94916,                0.94007,             0.00082501,             0.00082501,             0.00082501
                     30,                 0.6458,                 0.9495,                 1.0605,                0.76379,                0.75652,                0.82056,                0.68278,                0.64166,                0.91297,                0.94838,             0.00082201,             0.00082201,             0.00082201
